racecourse,distance,going,raceclass,age_cond,age_cond,wintime,count
2.0,5.0,5,6.0,1,1,60.09,1
2.0,5.0,5,6.0,2,2,59.9885714286,7
2.0,5.0,5,6.0,3,3,58.7725,4
2.0,5.0,5,6.0,4,4,60.486,5
2.0,5.0,5,7.0,4,4,60.36,1
2.0,5.0,6,1.0,1,1,60.76,3
2.0,5.0,6,1.0,3,3,59.795,2
2.0,5.0,6,2.0,3,3,59.93,3
2.0,5.0,6,3.0,3,3,60.3,2
2.0,5.0,6,3.0,4,4,59.22,1
2.0,5.0,6,4.0,1,1,61.39,1
2.0,5.0,6,4.0,2,2,61.62,1
2.0,5.0,6,4.0,3,3,59.9633333333,3
2.0,5.0,6,4.0,4,4,59.93,1
2.0,5.0,6,5.0,1,1,61.625,2
2.0,5.0,6,5.0,2,2,61.22,2
2.0,5.0,6,5.0,3,3,60.56,2
2.0,5.0,6,6.0,2,2,60.5775,4
2.0,5.0,6,6.0,3,3,60.662,5
2.0,5.0,6,6.0,4,4,61.15,2
2.0,5.0,8,1.0,1,1,61.92,2
2.0,5.0,8,1.0,3,3,61.27,1
2.0,5.0,8,3.0,3,3,62.2,1
2.0,5.0,8,3.0,4,4,61.98,2
2.0,5.0,8,4.0,1,1,62.195,2
2.0,5.0,8,4.0,2,2,62.32,1
2.0,5.0,8,4.0,3,3,61.51,2
2.0,5.0,8,5.0,2,2,62.668,5
2.0,5.0,8,5.0,3,3,61.62,3
2.0,5.0,8,6.0,2,2,63.07,3
2.0,5.0,8,6.0,3,3,61.905,4
2.0,5.0,8,6.0,4,4,61.68,2
2.0,5.0,9,1.0,1,1,62.455,2
2.0,5.0,9,3.0,3,3,62.82,2
2.0,5.0,9,4.0,2,2,63.26,1
2.0,5.0,9,4.0,3,3,62.415,2
2.0,5.0,9,5.0,1,1,64.74,2
2.0,5.0,9,5.0,2,2,64.9833333333,3
2.0,5.0,9,6.0,3,3,63.8233333333,3
2.0,6.0,2,3.0,3,3,70.25,1
2.0,6.0,2,4.0,1,1,72.4871428571,7
2.0,6.0,2,4.0,2,2,70.06,1
2.0,6.0,2,4.0,3,3,71.275,2
2.0,6.0,2,5.0,1,1,71.6166666667,3
2.0,6.0,2,5.0,2,2,71.35,2
2.0,6.0,2,5.0,3,3,70.94,3
2.0,6.0,2,6.0,1,1,73.39,1
2.0,6.0,3,1.0,1,1,71.615,4
2.0,6.0,3,2.0,1,1,70.44,1
2.0,6.0,3,2.0,3,3,70.489,10
2.0,6.0,3,3.0,1,1,72.15,5
2.0,6.0,3,4.0,1,1,72.5933333333,9
2.0,6.0,3,4.0,2,2,71.346,5
2.0,6.0,3,4.0,3,3,71.4788888889,9
2.0,6.0,3,5.0,1,1,72.7038888889,18
2.0,6.0,3,5.0,2,2,71.52,1
2.0,6.0,3,5.0,3,3,71.7907142857,14
2.0,6.0,3,6.0,1,1,72.98,1
2.0,6.0,3,6.0,2,2,71.8775,4
2.0,6.0,3,6.0,3,3,71.866,5
2.0,6.0,3,6.0,4,4,72.085,2
2.0,6.0,5,1.0,1,1,72.2066666667,3
2.0,6.0,5,2.0,1,1,72.2,1
2.0,6.0,5,2.0,3,3,71.20625,8
2.0,6.0,5,3.0,1,1,72.865,2
2.0,6.0,5,3.0,3,3,73.06,1
2.0,6.0,5,4.0,1,1,73.57,12
2.0,6.0,5,4.0,2,2,72.946,5
2.0,6.0,5,4.0,3,3,72.3655555556,9
2.0,6.0,5,5.0,1,1,73.9430434783,23
2.0,6.0,5,5.0,2,2,73.5433333333,3
2.0,6.0,5,5.0,3,3,72.5704545455,22
2.0,6.0,5,5.0,4,4,74.78,1
2.0,6.0,5,6.0,1,1,73.68,2
2.0,6.0,5,6.0,2,2,72.762,5
2.0,6.0,5,6.0,3,3,72.4016666667,6
2.0,6.0,5,6.0,4,4,73.01,3
2.0,6.0,6,1.0,1,1,74.1666666667,3
2.0,6.0,6,1.0,3,3,73.9,1
2.0,6.0,6,2.0,1,1,75.79,1
2.0,6.0,6,2.0,3,3,73.565,6
2.0,6.0,6,3.0,3,3,73.11,1
2.0,6.0,6,4.0,1,1,75.2036363636,11
2.0,6.0,6,4.0,2,2,73.84,1
2.0,6.0,6,4.0,3,3,73.58,5
2.0,6.0,6,5.0,1,1,74.5308333333,12
2.0,6.0,6,5.0,2,2,73.4366666667,3
2.0,6.0,6,5.0,3,3,73.8014285714,7
2.0,6.0,6,5.0,4,4,73.54,1
2.0,6.0,6,6.0,2,2,74.182,5
2.0,6.0,6,6.0,3,3,74.3,3
2.0,6.0,8,1.0,1,1,76.41,4
2.0,6.0,8,1.0,3,3,76.15,1
2.0,6.0,8,2.0,1,1,75.81,1
2.0,6.0,8,2.0,3,3,74.2683333333,6
2.0,6.0,8,3.0,1,1,76.58,1
2.0,6.0,8,3.0,3,3,74.15,1
2.0,6.0,8,4.0,1,1,76.8133333333,3
2.0,6.0,8,4.0,2,2,75.945,2
2.0,6.0,8,4.0,3,3,75.7066666667,3
2.0,6.0,8,5.0,1,1,76.1384615385,13
2.0,6.0,8,5.0,2,2,76.5633333333,3
2.0,6.0,8,5.0,3,3,75.69875,8
2.0,6.0,8,6.0,1,1,79.37,1
2.0,6.0,8,6.0,2,2,74.6,1
2.0,6.0,8,6.0,3,3,76.3,5
2.0,6.0,8,6.0,4,4,76.99,4
2.0,6.0,9,1.0,1,1,75.63,1
2.0,6.0,9,2.0,3,3,75.575,2
2.0,6.0,9,3.0,1,1,77.87,2
2.0,6.0,9,3.0,4,4,76.94,1
2.0,6.0,9,4.0,1,1,79.705,2
2.0,6.0,9,4.0,3,3,78.306,5
2.0,6.0,9,5.0,1,1,78.9655555556,9
2.0,6.0,9,5.0,3,3,77.8785714286,7
2.0,6.0,9,5.0,4,4,76.43,1
2.0,6.0,9,6.0,2,2,77.65,1
2.0,6.0,9,6.0,3,3,79.79,1
2.0,7.0,2,3.0,3,3,85.345,2
2.0,7.0,2,4.0,1,1,87.19,2
2.0,7.0,2,4.0,3,3,86.29,2
2.0,7.0,2,5.0,1,1,86.54,1
2.0,7.0,2,5.0,2,2,86.48,1
2.0,7.0,2,6.0,3,3,87.97,1
2.0,7.0,3,3.0,3,3,86.24,1
2.0,7.0,3,4.0,1,1,88.18,1
2.0,7.0,3,4.0,2,2,86.96,1
2.0,7.0,3,4.0,3,3,86.775,2
2.0,7.0,5,5.0,1,1,88.28,1
2.0,7.0,5,6.0,2,2,88.67,1
2.0,7.0,6,3.0,3,3,88.57,1
2.0,7.0,6,4.0,1,1,90.42,1
2.0,7.0,6,5.0,1,1,90.54,1
2.0,7.0,6,5.0,2,2,88.89,1
2.0,7.0,6,6.0,3,3,92.23,1
2.0,7.0,8,3.0,1,1,92.53,1
2.0,7.0,8,3.0,3,3,89.86,1
2.0,7.0,8,4.0,1,1,91.96,1
2.0,7.0,8,4.0,3,3,91.37,1
2.0,7.0,8,6.0,2,2,92.76,1
2.0,7.23,2,3.0,3,3,88.22,1
2.0,7.23,2,4.0,1,1,90.1,1
2.0,7.23,2,4.0,3,3,89.05,3
2.0,7.23,2,5.0,1,1,91.185,2
2.0,7.23,2,5.0,2,2,89.915,2
2.0,7.23,2,6.0,2,2,89.46,1
2.0,7.23,2,6.0,3,3,88.68,1
2.0,7.23,3,3.0,1,1,91.275,2
2.0,7.23,3,3.0,3,3,89.825,4
2.0,7.23,3,4.0,1,1,91.995,10
2.0,7.23,3,4.0,3,3,90.302,5
2.0,7.23,3,4.0,4,4,88.9266666667,6
2.0,7.23,3,5.0,1,1,91.716,5
2.0,7.23,3,5.0,2,2,91.97,1
2.0,7.23,3,5.0,3,3,90.5781818182,11
2.0,7.23,3,6.0,1,1,91.04,1
2.0,7.23,3,6.0,2,2,91.1466666667,3
2.0,7.23,3,6.0,3,3,91.3516666667,12
2.0,7.23,3,6.0,4,4,91.77,2
2.0,7.23,5,2.0,3,3,90.2,1
2.0,7.23,5,3.0,1,1,92.48,1
2.0,7.23,5,3.0,3,3,90.98875,8
2.0,7.23,5,3.0,4,4,92.33,1
2.0,7.23,5,4.0,1,1,93.232,10
2.0,7.23,5,4.0,2,2,91.48,1
2.0,7.23,5,4.0,3,3,91.649,10
2.0,7.23,5,4.0,4,4,90.9733333333,3
2.0,7.23,5,5.0,1,1,93.3409090909,11
2.0,7.23,5,5.0,2,2,93.835,2
2.0,7.23,5,5.0,3,3,92.2605555556,18
2.0,7.23,5,5.0,4,4,91.1,1
2.0,7.23,5,6.0,1,1,93.4666666667,3
2.0,7.23,5,6.0,2,2,92.72,1
2.0,7.23,5,6.0,3,3,92.112,20
2.0,7.23,5,6.0,4,4,92.3,1
2.0,7.23,6,2.0,1,1,96.73,1
2.0,7.23,6,3.0,3,3,94.35,4
2.0,7.23,6,4.0,1,1,96.2028571429,7
2.0,7.23,6,4.0,2,2,95.23,1
2.0,7.23,6,4.0,3,3,94.03,3
2.0,7.23,6,4.0,4,4,92.29,1
2.0,7.23,6,5.0,1,1,94.48,2
2.0,7.23,6,5.0,3,3,94.4042857143,7
2.0,7.23,6,5.0,4,4,93.63,1
2.0,7.23,6,6.0,3,3,95.2777777778,9
2.0,7.23,6,6.0,4,4,93.43,1
2.0,7.23,8,2.0,3,3,98.04,1
2.0,7.23,8,3.0,3,3,94.3733333333,3
