racecourse,age_cond,going,raceclass,distance,distance,wintime,count
2.0,1,6,2.0,7.23,7.23,96.73,1
2.0,1,6,2.0,8.0,8.0,105.64,2
2.0,1,6,4.0,5.0,5.0,61.39,1
2.0,1,6,4.0,6.0,6.0,75.2036363636,11
2.0,1,6,4.0,7.0,7.0,90.42,1
2.0,1,6,4.0,7.23,7.23,96.2028571429,7
2.0,1,6,4.0,8.0,8.0,105.7075,4
2.0,1,6,5.0,5.0,5.0,61.625,2
2.0,1,6,5.0,6.0,6.0,74.5308333333,12
2.0,1,6,5.0,7.0,7.0,90.54,1
2.0,1,6,5.0,7.23,7.23,94.48,2
2.0,1,8,1.0,5.0,5.0,61.92,2
2.0,1,8,1.0,6.0,6.0,76.41,4
2.0,1,8,1.0,8.0,8.0,110.02,1
2.0,1,8,2.0,6.0,6.0,75.81,1
2.0,1,8,2.0,8.0,8.0,106.793333333,3
2.0,1,8,3.0,6.0,6.0,76.58,1
2.0,1,8,3.0,7.0,7.0,92.53,1
2.0,1,8,3.0,8.0,8.0,104.83,1
2.0,1,8,4.0,5.0,5.0,62.195,2
2.0,1,8,4.0,6.0,6.0,76.8133333333,3
2.0,1,8,4.0,7.0,7.0,91.96,1
2.0,1,8,4.0,7.23,7.23,97.638,5
2.0,1,8,4.0,8.0,8.0,108.372,5
2.0,1,8,5.0,6.0,6.0,76.1384615385,13
2.0,1,8,5.0,7.23,7.23,99.04,3
2.0,1,8,5.0,8.0,8.0,106.4,1
2.0,1,8,6.0,6.0,6.0,79.37,1
2.0,1,9,1.0,5.0,5.0,62.455,2
2.0,1,9,1.0,6.0,6.0,75.63,1
2.0,1,9,2.0,8.0,8.0,109.34,1
2.0,1,9,3.0,6.0,6.0,77.87,2
2.0,1,9,4.0,6.0,6.0,79.705,2
2.0,1,9,4.0,7.23,7.23,100.934,5
2.0,1,9,4.0,8.0,8.0,114.543333333,6
2.0,1,9,5.0,5.0,5.0,64.74,2
2.0,1,9,5.0,6.0,6.0,78.9655555556,9
2.0,1,9,5.0,7.23,7.23,100.242857143,7
2.0,1,9,5.0,9.0,9.0,133.84,1
2.0,1,9,6.0,7.23,7.23,101.35,2
2.0,2,2,3.0,8.0,8.0,99.165,2
2.0,2,2,4.0,5.0,5.0,58.275,2
2.0,2,2,4.0,6.0,6.0,70.06,1
2.0,2,2,4.0,8.0,8.0,99.34,1
2.0,2,2,4.0,10.87,10.87,137.92,1
2.0,2,2,5.0,6.0,6.0,71.35,2
2.0,2,2,5.0,7.0,7.0,86.48,1
2.0,2,2,5.0,7.23,7.23,89.915,2
2.0,2,2,5.0,9.09,9.09,113.775,2
2.0,2,2,5.0,10.87,10.87,141.13,1
2.0,2,2,6.0,5.0,5.0,58.78,2
2.0,2,2,6.0,7.23,7.23,89.46,1
2.0,2,2,6.0,8.0,8.0,100.02,1
2.0,2,3,2.0,8.0,8.0,100.0675,4
2.0,2,3,2.0,9.09,9.09,114.13,1
2.0,2,3,3.0,5.0,5.0,58.67,1
2.0,2,3,3.0,8.0,8.0,100.375,2
2.0,2,3,3.0,15.0,15.0,200.165,2
2.0,2,3,4.0,5.0,5.0,59.1433333333,3
2.0,2,3,4.0,6.0,6.0,71.346,5
2.0,2,3,4.0,7.0,7.0,86.96,1
2.0,2,3,4.0,8.0,8.0,100.61,2
2.0,2,3,4.0,9.09,9.09,115.11,1
2.0,2,3,4.0,10.87,10.87,140.29,2
2.0,2,3,5.0,5.0,5.0,59.375,2
2.0,2,3,5.0,6.0,6.0,71.52,1
2.0,2,3,5.0,7.23,7.23,91.97,1
2.0,2,3,5.0,8.0,8.0,101.395,6
2.0,2,3,5.0,9.09,9.09,113.63,2
2.0,2,3,5.0,10.87,10.87,139.12,1
2.0,2,3,6.0,5.0,5.0,59.675,2
2.0,2,3,6.0,6.0,6.0,71.8775,4
2.0,2,3,6.0,7.23,7.23,91.1466666667,3
2.0,2,3,6.0,8.0,8.0,100.995,2
2.0,2,3,6.0,10.0,10.0,129.255,2
2.0,2,5,2.0,8.0,8.0,99.83,1
2.0,2,5,3.0,8.0,8.0,104.565,2
2.0,2,5,3.0,15.0,15.0,202.47,1
2.0,2,5,4.0,5.0,5.0,59.8775,4
2.0,2,5,4.0,6.0,6.0,72.946,5
2.0,2,5,4.0,7.23,7.23,91.48,1
2.0,2,5,4.0,8.0,8.0,102.45,5
2.0,2,5,4.0,10.87,10.87,144.795,2
2.0,2,5,5.0,5.0,5.0,59.0533333333,3
2.0,2,5,5.0,6.0,6.0,73.5433333333,3
2.0,2,5,5.0,7.23,7.23,93.835,2
2.0,2,5,5.0,8.0,8.0,101.3625,4
2.0,2,5,5.0,9.09,9.09,116.52,3
2.0,2,5,5.0,10.87,10.87,140.91,2
2.0,2,5,6.0,5.0,5.0,59.9885714286,7
2.0,2,5,6.0,6.0,6.0,72.762,5
2.0,2,5,6.0,7.0,7.0,88.67,1
2.0,2,5,6.0,7.23,7.23,92.72,1
2.0,2,5,6.0,8.0,8.0,105.89,1
2.0,2,5,6.0,10.0,10.0,130.939,10
2.0,2,6,2.0,8.0,8.0,102.75,1
2.0,2,6,4.0,5.0,5.0,61.62,1
2.0,2,6,4.0,6.0,6.0,73.84,1
2.0,2,6,4.0,7.23,7.23,95.23,1
2.0,2,6,4.0,8.0,8.0,104.34,1
2.0,2,6,5.0,5.0,5.0,61.22,2
2.0,2,6,5.0,6.0,6.0,73.4366666667,3
2.0,2,6,5.0,7.0,7.0,88.89,1
2.0,2,6,5.0,8.0,8.0,104.96,2
2.0,2,6,5.0,9.09,9.09,115.45,1
2.0,2,6,5.0,10.87,10.87,148.25,2
2.0,2,6,6.0,5.0,5.0,60.5775,4
2.0,2,6,6.0,6.0,6.0,74.182,5
2.0,2,6,6.0,8.0,8.0,102.6,1
2.0,2,6,6.0,9.09,9.09,118.63,1
2.0,2,6,6.0,10.0,10.0,134.0,1
2.0,2,8,2.0,8.0,8.0,106.04,1
2.0,2,8,3.0,15.0,15.0,206.46,1
2.0,2,8,4.0,5.0,5.0,62.32,1
2.0,2,8,4.0,6.0,6.0,75.945,2
2.0,2,8,4.0,7.23,7.23,94.38,1
2.0,2,8,4.0,8.0,8.0,110.165,2
2.0,2,8,5.0,5.0,5.0,62.668,5
2.0,2,8,5.0,6.0,6.0,76.5633333333,3
2.0,2,8,5.0,8.0,8.0,104.44,2
2.0,2,8,5.0,9.09,9.09,127.49,1
2.0,2,8,6.0,5.0,5.0,63.07,3
2.0,2,8,6.0,6.0,6.0,74.6,1
2.0,2,8,6.0,7.0,7.0,92.76,1
2.0,2,8,6.0,8.0,8.0,111.1,1
2.0,2,8,6.0,9.09,9.09,121.41,1
2.0,2,8,6.0,10.0,10.0,138.14,4
2.0,2,9,3.0,8.0,8.0,113.885,2
2.0,2,9,4.0,5.0,5.0,63.26,1
2.0,2,9,4.0,9.0,9.0,134.74,1
2.0,2,9,4.0,10.0,10.0,142.77,1
2.0,2,9,5.0,5.0,5.0,64.9833333333,3
2.0,2,9,5.0,8.0,8.0,108.41,1
2.0,2,9,5.0,9.09,9.09,128.97,1
