distance,raceclass,age_cond,going,racecourse,racecourse,wintime,count
5.0,3.0,1,5,44.0,44.0,61.7683333333,6
5.0,3.0,1,5,51.0,51.0,58.9533333333,3
5.0,3.0,1,5,60.0,60.0,60.155,2
5.0,3.0,1,5,62.0,62.0,60.0792307692,13
5.0,3.0,1,6,1.0,1.0,63.585,2
5.0,3.0,1,6,15.0,15.0,61.69,2
5.0,3.0,1,6,16.0,16.0,57.64,1
5.0,3.0,1,6,22.0,22.0,61.44,1
5.0,3.0,1,6,36.0,36.0,62.426,5
5.0,3.0,1,6,43.0,43.0,61.735,4
5.0,3.0,1,6,51.0,51.0,61.33,2
5.0,3.0,1,6,62.0,62.0,61.5233333333,3
5.0,3.0,1,8,5.0,5.0,67.15,1
5.0,3.0,1,8,14.0,14.0,65.81,1
5.0,3.0,1,8,15.0,15.0,64.1,1
5.0,3.0,1,8,36.0,36.0,62.71,1
5.0,3.0,1,8,43.0,43.0,62.54,1
5.0,3.0,1,8,44.0,44.0,63.2966666667,3
5.0,3.0,1,8,51.0,51.0,61.47,1
5.0,3.0,1,8,62.0,62.0,62.965,2
5.0,3.0,1,9,22.0,22.0,62.54,1
5.0,3.0,1,9,62.0,62.0,63.61,1
5.0,3.0,2,2,14.0,14.0,58.49,1
5.0,3.0,2,2,20.0,20.0,57.52,1
5.0,3.0,2,2,51.0,51.0,58.6733333333,3
5.0,3.0,2,3,2.0,2.0,58.67,1
5.0,3.0,2,3,20.0,20.0,58.04375,8
5.0,3.0,2,3,42.0,42.0,57.69,1
5.0,3.0,2,3,51.0,51.0,58.165,2
5.0,3.0,2,3,62.0,62.0,58.655,4
5.0,3.0,2,4,28.0,28.0,60.14,1
5.0,3.0,2,4,30.0,30.0,59.8533333333,3
5.0,3.0,2,4,47.0,47.0,59.74,2
5.0,3.0,2,5,5.0,5.0,62.53,4
5.0,3.0,2,5,14.0,14.0,60.43,1
5.0,3.0,2,5,20.0,20.0,58.23,6
5.0,3.0,2,5,22.0,22.0,62.19,1
5.0,3.0,2,5,51.0,51.0,59.6428571429,7
5.0,3.0,2,5,60.0,60.0,58.82,1
5.0,3.0,2,5,62.0,62.0,58.5633333333,3
5.0,3.0,2,6,51.0,51.0,61.11,2
5.0,3.0,2,6,62.0,62.0,61.05,1
5.0,3.0,2,8,14.0,14.0,60.95,1
5.0,3.0,2,8,51.0,51.0,62.5366666667,3
5.0,3.0,2,8,62.0,62.0,59.61,1
5.0,3.0,2,9,51.0,51.0,62.83,1
5.0,3.0,3,1,27.0,27.0,59.14,2
5.0,3.0,3,1,28.0,28.0,58.335,2
5.0,3.0,3,1,30.0,30.0,57.51,1
5.0,3.0,3,2,1.0,1.0,59.78,3
5.0,3.0,3,2,2.0,2.0,57.92,2
5.0,3.0,3,2,5.0,5.0,61.0866666667,3
5.0,3.0,3,2,15.0,15.0,57.01,1
5.0,3.0,3,2,22.0,22.0,59.23,1
5.0,3.0,3,2,41.0,41.0,61.105,2
5.0,3.0,3,2,42.0,42.0,56.02,1
5.0,3.0,3,2,51.0,51.0,57.47,1
5.0,3.0,3,2,60.0,60.0,58.34,1
5.0,3.0,3,2,62.0,62.0,58.0,1
5.0,3.0,3,3,1.0,1.0,60.56,4
5.0,3.0,3,3,2.0,2.0,58.305,4
5.0,3.0,3,3,5.0,5.0,61.796875,16
5.0,3.0,3,3,14.0,14.0,58.65,3
5.0,3.0,3,3,15.0,15.0,58.9845454545,11
5.0,3.0,3,3,16.0,16.0,53.9,1
5.0,3.0,3,3,22.0,22.0,59.5,3
5.0,3.0,3,3,35.0,35.0,59.4733333333,3
5.0,3.0,3,3,36.0,36.0,59.3,1
5.0,3.0,3,3,41.0,41.0,62.4533333333,6
5.0,3.0,3,3,42.0,42.0,57.39,2
5.0,3.0,3,3,43.0,43.0,58.26,3
5.0,3.0,3,3,50.0,50.0,57.345,2
5.0,3.0,3,3,60.0,60.0,58.3942857143,21
5.0,3.0,3,3,62.0,62.0,58.3066666667,9
5.0,3.0,3,4,27.0,27.0,59.1833333333,3
5.0,3.0,3,4,28.0,28.0,59.49,3
5.0,3.0,3,4,30.0,30.0,58.9353333333,15
5.0,3.0,3,4,47.0,47.0,58.9413043478,23
5.0,3.0,3,4,58.0,58.0,61.366,5
5.0,3.0,3,5,1.0,1.0,61.8,4
5.0,3.0,3,5,2.0,2.0,58.812,5
5.0,3.0,3,5,5.0,5.0,62.73,8
5.0,3.0,3,5,9.0,9.0,59.86,1
5.0,3.0,3,5,14.0,14.0,59.4766666667,3
5.0,3.0,3,5,15.0,15.0,59.5466666667,9
5.0,3.0,3,5,16.0,16.0,55.54,1
5.0,3.0,3,5,20.0,20.0,59.26,1
5.0,3.0,3,5,22.0,22.0,59.51,2
5.0,3.0,3,5,29.0,29.0,59.74,1
5.0,3.0,3,5,35.0,35.0,60.67,1
5.0,3.0,3,5,36.0,36.0,60.14,1
5.0,3.0,3,5,42.0,42.0,58.9666666667,3
5.0,3.0,3,5,43.0,43.0,59.0733333333,3
5.0,3.0,3,5,44.0,44.0,60.11,1
5.0,3.0,3,5,60.0,60.0,59.0366666667,9
5.0,3.0,3,5,62.0,62.0,59.365,6
5.0,3.0,3,6,1.0,1.0,62.975,2
5.0,3.0,3,6,2.0,2.0,60.3,2
5.0,3.0,3,6,5.0,5.0,64.8983333333,6
5.0,3.0,3,6,9.0,9.0,60.98,1
5.0,3.0,3,6,16.0,16.0,57.04,1
5.0,3.0,3,6,20.0,20.0,60.0,1
5.0,3.0,3,6,22.0,22.0,60.4,1
5.0,3.0,3,6,35.0,35.0,61.32,1
5.0,3.0,3,6,41.0,41.0,63.77,1
5.0,3.0,3,6,42.0,42.0,60.16,1
5.0,3.0,3,6,50.0,50.0,59.91,1
5.0,3.0,3,6,60.0,60.0,59.34,3
5.0,3.0,3,6,62.0,62.0,60.7633333333,3
5.0,3.0,3,7,47.0,47.0,60.4983333333,6
5.0,3.0,3,7,58.0,58.0,62.1,1
5.0,3.0,3,8,2.0,2.0,62.2,1
5.0,3.0,3,8,5.0,5.0,63.91,1
5.0,3.0,3,8,9.0,9.0,60.37,1
5.0,3.0,3,8,15.0,15.0,60.9,1
5.0,3.0,3,8,16.0,16.0,58.815,2
5.0,3.0,3,8,18.0,18.0,61.58,1
5.0,3.0,3,8,22.0,22.0,62.345,2
5.0,3.0,3,8,41.0,41.0,66.42,2
5.0,3.0,3,8,42.0,42.0,60.52,2
5.0,3.0,3,8,51.0,51.0,61.74,1
5.0,3.0,3,8,60.0,60.0,60.5833333333,3
5.0,3.0,3,8,62.0,62.0,60.685,2
5.0,3.0,3,9,2.0,2.0,62.82,2
5.0,3.0,3,9,5.0,5.0,66.8425,4
5.0,3.0,3,9,22.0,22.0,64.52,1
5.0,3.0,3,9,27.0,27.0,63.52,1
5.0,3.0,3,9,41.0,41.0,64.66,1
5.0,3.0,3,9,62.0,62.0,62.15,2
5.0,3.0,4,1,27.0,27.0,58.95,1
5.0,3.0,4,1,28.0,28.0,58.76,1
5.0,3.0,4,1,47.0,47.0,58.25,1
5.0,3.0,4,2,20.0,20.0,57.02,1
5.0,3.0,4,3,2.0,2.0,57.4733333333,3
5.0,3.0,4,3,5.0,5.0,62.165,4
5.0,3.0,4,3,15.0,15.0,57.97,2
5.0,3.0,4,3,20.0,20.0,57.1233333333,6
5.0,3.0,4,3,22.0,22.0,59.05,1
5.0,3.0,4,4,28.0,28.0,59.3375,4
5.0,3.0,4,4,30.0,30.0,59.87,1
5.0,3.0,4,4,47.0,47.0,59.0642857143,7
5.0,3.0,4,5,5.0,5.0,63.0666666667,3
5.0,3.0,4,5,16.0,16.0,55.58,5
5.0,3.0,4,5,20.0,20.0,58.2557142857,7
5.0,3.0,4,6,2.0,2.0,59.22,1
5.0,3.0,4,6,5.0,5.0,63.55,1
5.0,3.0,4,6,15.0,15.0,60.89,1
5.0,3.0,4,6,16.0,16.0,56.765,2
5.0,3.0,4,6,20.0,20.0,59.0433333333,3
5.0,3.0,4,6,30.0,30.0,59.66,1
5.0,3.0,4,7,47.0,47.0,59.82,2
5.0,3.0,4,8,2.0,2.0,61.98,2
5.0,3.0,4,8,5.0,5.0,65.07,1
5.0,3.0,4,8,16.0,16.0,57.45,1
5.0,3.0,4,8,20.0,20.0,60.3,2
5.0,3.0,4,8,35.0,35.0,63.25,1
5.0,3.0,4,9,5.0,5.0,67.2,1
5.0,4.0,1,1,27.0,27.0,60.66,4
5.0,4.0,1,1,28.0,28.0,59.2875,4
5.0,4.0,1,1,30.0,30.0,58.5033333333,3
5.0,4.0,1,1,47.0,47.0,60.37,1
5.0,4.0,1,2,1.0,1.0,60.82,1
5.0,4.0,1,2,5.0,5.0,62.6033333333,6
5.0,4.0,1,2,7.0,7.0,61.53,1
5.0,4.0,1,2,9.0,9.0,59.0466666667,3
5.0,4.0,1,2,14.0,14.0,60.46,1
5.0,4.0,1,2,15.0,15.0,59.385,2
5.0,4.0,1,2,22.0,22.0,59.74,1
5.0,4.0,1,2,27.0,27.0,59.536,5
5.0,4.0,1,2,30.0,30.0,58.48,2
5.0,4.0,1,2,35.0,35.0,60.94,2
5.0,4.0,1,2,36.0,36.0,60.2366666667,3
5.0,4.0,1,2,41.0,41.0,63.7733333333,3
5.0,4.0,1,2,42.0,42.0,58.06,4
5.0,4.0,1,2,44.0,44.0,60.615,6
5.0,4.0,1,2,51.0,51.0,58.9855555556,9
5.0,4.0,1,2,54.0,54.0,61.64,1
5.0,4.0,1,3,1.0,1.0,60.36,1
5.0,4.0,1,3,2.0,2.0,59.2333333333,3
5.0,4.0,1,3,5.0,5.0,63.3395833333,24
5.0,4.0,1,3,9.0,9.0,60.3033333333,3
5.0,4.0,1,3,14.0,14.0,60.683,10
5.0,4.0,1,3,15.0,15.0,59.7785714286,21
5.0,4.0,1,3,18.0,18.0,61.255,4
5.0,4.0,1,3,20.0,20.0,59.344,5
5.0,4.0,1,3,22.0,22.0,61.03125,8
5.0,4.0,1,3,27.0,27.0,60.3433333333,3
5.0,4.0,1,3,29.0,29.0,59.435,2
5.0,4.0,1,3,30.0,30.0,58.8166666667,3
5.0,4.0,1,3,35.0,35.0,61.0515384615,13
5.0,4.0,1,3,36.0,36.0,60.4635714286,14
5.0,4.0,1,3,41.0,41.0,63.7026086957,23
5.0,4.0,1,3,42.0,42.0,58.615,4
5.0,4.0,1,3,43.0,43.0,60.05,10
5.0,4.0,1,3,44.0,44.0,61.6492857143,14
5.0,4.0,1,3,50.0,50.0,57.915,2
5.0,4.0,1,3,51.0,51.0,59.0788888889,18
5.0,4.0,1,3,54.0,54.0,59.7336363636,11
5.0,4.0,1,3,60.0,60.0,59.1,1
5.0,4.0,1,3,62.0,62.0,60.1233333333,3
5.0,4.0,1,4,27.0,27.0,61.7252941176,17
5.0,4.0,1,4,28.0,28.0,60.3055555556,9
5.0,4.0,1,4,30.0,30.0,60.1557894737,19
5.0,4.0,1,4,47.0,47.0,60.2775,8
5.0,4.0,1,4,58.0,58.0,61.67,3
5.0,4.0,1,5,1.0,1.0,63.36,1
5.0,4.0,1,5,5.0,5.0,64.5618181818,22
5.0,4.0,1,5,7.0,7.0,61.9533333333,3
5.0,4.0,1,5,9.0,9.0,60.97,3
5.0,4.0,1,5,14.0,14.0,61.225,6
5.0,4.0,1,5,15.0,15.0,60.8,10
5.0,4.0,1,5,18.0,18.0,60.61,2
5.0,4.0,1,5,20.0,20.0,60.24,4
5.0,4.0,1,5,22.0,22.0,62.44,2
5.0,4.0,1,5,27.0,27.0,61.225,4
5.0,4.0,1,5,29.0,29.0,61.4,1
5.0,4.0,1,5,30.0,30.0,59.425,2
5.0,4.0,1,5,35.0,35.0,60.935,2
5.0,4.0,1,5,36.0,36.0,61.2830769231,13
5.0,4.0,1,5,41.0,41.0,63.98,6
5.0,4.0,1,5,42.0,42.0,62.3,1
5.0,4.0,1,5,43.0,43.0,60.5345454545,11
5.0,4.0,1,5,44.0,44.0,62.0057142857,7
5.0,4.0,1,5,50.0,50.0,58.4,2
5.0,4.0,1,5,51.0,51.0,60.1,22
5.0,4.0,1,5,54.0,54.0,62.15,2
5.0,4.0,1,5,60.0,60.0,59.875,2
5.0,4.0,1,6,2.0,2.0,61.39,1
5.0,4.0,1,6,5.0,5.0,65.24625,8
5.0,4.0,1,6,7.0,7.0,62.535,2
5.0,4.0,1,6,9.0,9.0,63.0433333333,3
5.0,4.0,1,6,14.0,14.0,62.992,5
5.0,4.0,1,6,15.0,15.0,62.2457142857,7
5.0,4.0,1,6,16.0,16.0,57.6,1
5.0,4.0,1,6,18.0,18.0,64.03,1
5.0,4.0,1,6,20.0,20.0,61.825,2
5.0,4.0,1,6,22.0,22.0,63.1414285714,7
5.0,4.0,1,6,27.0,27.0,62.92,2
5.0,4.0,1,6,30.0,30.0,59.31,1
5.0,4.0,1,6,35.0,35.0,63.2457142857,7
5.0,4.0,1,6,36.0,36.0,62.3,7
5.0,4.0,1,6,41.0,41.0,65.835,6
5.0,4.0,1,6,43.0,43.0,61.768,5
5.0,4.0,1,6,44.0,44.0,63.576,5
5.0,4.0,1,6,50.0,50.0,61.19,3
5.0,4.0,1,6,51.0,51.0,61.055,12
5.0,4.0,1,6,60.0,60.0,61.33,1
5.0,4.0,1,6,62.0,62.0,62.35,1
5.0,4.0,1,7,47.0,47.0,60.1,4
5.0,4.0,1,8,1.0,1.0,65.37,1
5.0,4.0,1,8,2.0,2.0,62.195,2
5.0,4.0,1,8,5.0,5.0,67.024,5
5.0,4.0,1,8,9.0,9.0,62.07,1
5.0,4.0,1,8,14.0,14.0,64.74,2
5.0,4.0,1,8,15.0,15.0,63.4366666667,3
5.0,4.0,1,8,22.0,22.0,64.124,5
5.0,4.0,1,8,30.0,30.0,60.79,2
5.0,4.0,1,8,35.0,35.0,64.71,3
5.0,4.0,1,8,36.0,36.0,63.22,1
5.0,4.0,1,8,41.0,41.0,68.025,2
5.0,4.0,1,8,42.0,42.0,64.145,2
5.0,4.0,1,8,43.0,43.0,63.41,1
5.0,4.0,1,8,51.0,51.0,63.45625,8
5.0,4.0,1,8,54.0,54.0,65.128,5
5.0,4.0,1,9,5.0,5.0,66.77,2
5.0,4.0,1,9,14.0,14.0,63.78,1
5.0,4.0,1,9,15.0,15.0,63.11,1
5.0,4.0,1,9,35.0,35.0,66.6425,4
5.0,4.0,1,9,41.0,41.0,67.36,1
5.0,4.0,1,9,43.0,43.0,64.045,2
5.0,4.0,1,9,44.0,44.0,64.15,1
5.0,4.0,1,9,50.0,50.0,60.94,1
5.0,4.0,1,9,51.0,51.0,62.42,1
5.0,4.0,1,9,54.0,54.0,66.62,1
5.0,4.0,2,1,27.0,27.0,59.49,5
5.0,4.0,2,1,30.0,30.0,58.855,2
5.0,4.0,2,1,47.0,47.0,58.16,1
5.0,4.0,2,2,2.0,2.0,58.275,2
5.0,4.0,2,2,7.0,7.0,59.49,1
5.0,4.0,2,2,9.0,9.0,57.785,2
5.0,4.0,2,2,22.0,22.0,58.75,1
