"","Group.1","Group.2","Group.3","x.0%","x.5%"
"1442",10.03, 34,"4",124.8100,125.7600
"1443",11.02, 34,"4",138.2200,138.2200
"1444",12.02, 34,"4",153.3000,154.2750
"1445",13.28, 34,"4",183.6200,183.6200
"1446",16.00, 34,"4",210.6800,212.5500
"1447",16.50, 34,"4",229.0000,230.7200
"1448",18.50, 34,"4",280.1600,283.0475
"1449",19.00, 34,"4",270.8000,271.8140
"1450",21.00, 34,"4",307.6000,307.7250
"1451",22.50, 34,"4",355.5000,356.6800
"1452",24.50, 34,"4",353.1600,355.5680
"1453", 5.00, 35,"4", 58.2600, 58.7055
"1454", 6.00, 35,"4", 71.6000, 72.2300
"1455", 7.00, 35,"4", 84.5700, 84.9600
"1456", 8.00, 35,"4",103.9800,103.9800
"1457", 8.01, 35,"4", 98.4900, 99.0360
"1458",10.15, 35,"4",128.0500,128.5775
"1459",12.42, 35,"4",156.9000,157.3575
"1460",14.44, 35,"4",188.8500,188.8500
"1461",16.00, 35,"4",230.3800,234.9660
"1462",16.09, 35,"4",211.1000,211.6350
"1463",16.50, 35,"4",242.8000,244.1455
"1464",20.00, 35,"4",290.7800,298.3900
"1465",22.00, 35,"4",331.7000,331.8320
"1466",24.00, 35,"4",354.7700,358.0550
"1467", 5.00, 36,"4", 58.6800, 58.8900
"1468", 6.00, 36,"4", 70.3500, 70.3590
"1469", 7.00, 36,"4", 84.0200, 84.2410
"1470", 8.00, 36,"4", 98.2600, 98.4755
"1471",10.00, 36,"4",124.8300,124.9525
"1472",12.00, 36,"4",154.5300,154.5930
"1473",14.00, 36,"4",173.6900,175.5950
"1474",16.50, 37,"4",232.2800,234.5800
"1475",17.00, 37,"4",229.5500,232.3740
"1476",19.00, 37,"4",259.2500,262.9500
"1477",21.50, 37,"4",312.3000,313.1100
"1478",22.00, 37,"4",297.9000,308.0500
"1479",26.50, 37,"4",385.1200,385.2900
"1480",27.00, 37,"4",381.5600,383.3140
"1481", 5.06, 38,"4", 58.2100, 58.8975
"1482", 6.07, 38,"4", 72.3200, 72.4400
"1483", 8.25, 38,"4",101.4600,102.0095
"1484", 8.34, 38,"4",102.2600,104.3960
"1485", 9.97, 38,"4",126.0900,126.1600
"1486",10.23, 38,"4",129.5400,129.6525
"1487",14.07, 38,"4",179.7800,182.3420
"1488",16.00, 39,"4",225.2300,226.6265
"1489",16.50, 39,"4",223.0000,227.1340
"1490",20.50, 39,"4",283.2000,287.6450
"1491",24.00, 39,"4",355.2300,355.7840
"1492",24.50, 39,"4",233.7000,348.0290
"1493",16.00, 40,"4",215.0300,219.3770
"1494",17.00, 40,"4",257.8500,257.8500
"1495",18.00, 40,"4",251.0000,256.9910
"1496",20.00, 40,"4",295.4000,297.0500
"1497",21.00, 40,"4",286.6000,293.7025
"1498",25.50, 40,"4",365.0000,370.3130
"1499",26.00, 40,"4",387.5700,388.5400
"1500", 5.00, 41,"4", 62.9400, 63.1260
"1501", 6.00, 41,"4", 75.2100, 75.4540
"1502", 8.02, 41,"4",102.7400,103.0910
"1503",10.03, 41,"4",130.9600,131.6440
"1504",12.04, 41,"4",156.3000,157.1840
"1505",17.10, 41,"4",222.9700,223.5580
"1506",17.98, 41,"4",234.6200,236.4425
"1507", 5.00, 42,"4", 56.7600, 57.0050
"1508", 6.00, 42,"4", 69.1500, 69.5300
"1509", 7.00, 42,"4", 82.2700, 82.5080
"1510", 8.00, 42,"4", 92.4200, 95.1165
"1511", 9.00, 42,"4",116.0000,116.0000
"1512",10.00, 42,"4",126.8200,126.9945
"1513",14.09, 42,"4",185.0200,185.0200
"1514", 5.00, 43,"4", 58.4700, 58.6075
"1515", 6.00, 43,"4", 71.0600, 71.1280
"1516", 8.00, 43,"4", 99.2000, 99.2525
"1517", 9.77, 43,"4",120.8700,121.9890
"1518",12.05, 43,"4",153.1600,153.8080
"1519",16.00, 43,"4",207.7100,207.9055
"1520", 5.00, 44,"4", 59.7900, 59.8175
"1521", 6.00, 44,"4", 72.9500, 73.0775
"1522", 6.96, 44,"4", 87.6900, 87.7500
"1523", 8.00, 44,"4",100.1700,100.3470
"1524", 9.90, 44,"4",126.0800,126.2415
"1525",12.00, 44,"4",154.2500,154.3960
"1526",14.07, 44,"4",184.6900,184.7800
"1527",14.10, 44,"4",180.8400,182.3690
"1528", 5.03, 45,"4", 59.8300, 60.0520
"1529", 7.07, 45,"4", 89.0000, 89.0940
"1530", 8.06, 45,"4",100.5200,101.2160
"1531", 9.00, 45,"4",112.4000,113.0615
"1532",10.03, 45,"4",126.7100,127.4965
"1533",14.00, 45,"4",180.3200,181.3540
"1534",16.00, 45,"4",239.9300,240.0085
"1535",16.50, 45,"4",239.7000,241.4850
"1536",20.00, 45,"4",301.0000,302.5000
"1537",20.50, 45,"4",295.2200,295.8755
"1538",16.50, 46,"4",235.7800,236.6875
"1539",17.00, 46,"4",226.9400,233.3300
"1540",18.50, 46,"4",253.1000,254.9600
"1541",20.00, 46,"4",278.2600,283.8360
"1542",21.00, 46,"4",303.8800,303.9005
"1543",21.50, 46,"4",295.3200,298.8800
"1544",22.00, 46,"4",313.0000,313.9600
"1545",27.00, 46,"4",396.1700,396.3035
"1546",27.50, 46,"4",387.6000,395.7175
"1547", 5.00, 47,"4", 57.8800, 58.0640
"1548", 6.00, 47,"4", 73.4800, 74.1580
"1549", 7.00, 47,"4", 86.7100, 87.1665
"1550", 8.00, 47,"4", 99.5800,100.3605
"1551",11.00, 47,"4",143.3200,144.2650
"1552",12.00, 47,"4",155.9800,156.7040
"1553",14.00, 47,"4",182.3100,183.2830
"1554",16.00, 47,"4",219.3100,224.8025
"1555",17.00, 47,"4",232.1700,233.1780
"1556",18.00, 47,"4",254.5000,254.7950
"1557",20.50, 47,"4",290.5300,298.3640
"1558",21.50, 47,"4",300.9800,302.4440
"1559",24.50, 47,"4",356.1000,360.9670
"1560",26.00, 47,"4",373.0100,375.2270
"1561",16.50, 48,"4",224.7000,227.0810
"1562",17.50, 48,"4",236.8000,238.6365
"1563",19.00, 48,"4",260.3400,260.8735
"1564",20.00, 48,"4",278.5000,279.6400
"1565",21.50, 48,"4",296.5100,297.3220
"1566",22.00, 48,"4",319.9600,319.9600
"1567",22.50, 48,"4",314.6200,315.6600
"1568",23.00, 48,"4",323.1000,328.1600
"1569",27.00, 48,"4",384.1000,384.3580
"1570",28.00, 48,"4",422.2000,424.3600
"1571",16.50, 49,"4",243.1000,244.9800
"1572",17.00, 49,"4",227.7300,231.9555
"1573",19.00, 49,"4",294.6000,295.0725
"1574",19.50, 49,"4",259.8300,267.3995
"1575",23.50, 49,"4",355.6000,361.3665
"1576",24.50, 49,"4",339.2300,343.6300
"1577",27.00, 49,"4",441.3600,441.3600
"1578", 5.00, 50,"4", 58.2600, 58.3150
"1579", 6.00, 50,"4", 68.3700, 68.4030
"1580", 8.00, 50,"4", 97.1200, 97.8940
"1581",10.00, 50,"4",124.8500,125.7400
"1582",12.00, 50,"4",157.3700,157.6040
"1583",14.00, 50,"4",188.6200,188.6240
"1584",16.00, 50,"4",210.1900,217.8175
"1585",19.50, 50,"4",285.9700,287.1775
"1586",20.00, 50,"4",273.5000,285.0950
"1587",21.00, 50,"4",312.9000,316.1240
"1588",22.00, 50,"4",313.6000,315.6700
"1589",24.00, 50,"4",342.8000,346.5540
"1590",25.50, 50,"4",381.1000,381.1000
"1591", 5.00, 51,"4", 57.4300, 57.9120
"1592", 6.00, 51,"4", 69.7000, 70.2110
"1593", 7.00, 51,"4", 83.8600, 84.4870
"1594", 8.00, 51,"4", 98.3300, 98.5275
"1595",12.00, 51,"4",151.6600,153.4115
"1596",16.00, 51,"4",205.1900,206.1855
"1597",16.00, 52,"4",223.2000,225.9930
"1598",16.50, 52,"4",237.0000,238.8200
"1599",19.50, 52,"4",275.1000,278.5500
"1600",21.00, 52,"4",307.3000,311.1360
"1601",22.00, 52,"4",337.6000,338.1920
"1602",24.00, 52,"4",353.6600,358.4480
"1603",24.50, 52,"4",388.2000,390.6750
"1604",16.00, 53,"4",220.3000,224.2480
"1605",20.00, 53,"4",288.0900,293.6750
"1606",20.50, 53,"4",281.6900,287.8990
"1607",21.00, 53,"4",301.0200,307.3620
"1608",22.50, 53,"4",315.4000,319.3055
"1609",24.00, 53,"4",332.9000,339.4440
"1610", 5.50, 54,"4", 64.2700, 64.3255
"1611", 6.00, 54,"4", 69.4400, 69.9120
"1612", 7.12, 54,"4", 80.6300, 82.1150
"1613", 8.09, 54,"4",100.7900,100.7900
"1614", 8.10, 54,"4", 98.3400, 98.3550
"1615",10.85, 54,"4",136.9100,137.4625
"1616",12.61, 54,"4",169.6200,169.6200
"1617",14.97, 54,"4",194.1400,194.3465
"1618",16.00, 54,"4",215.4500,220.3290
"1619",16.18, 54,"4",209.5500,209.5625
"1620",19.00, 54,"4",264.1500,264.7450
"1621",20.50, 54,"4",300.9000,304.9315
"1622",21.00, 54,"4",287.8200,291.2000
"1623",24.50, 54,"4",373.1000,373.9325
"1624",25.00, 54,"4",354.0000,358.3955
"1625",26.00, 54,"4",392.6300,394.0850
"1626",29.00, 54,"4",436.2000,436.6400
"1627",16.00, 55,"4",226.9000,229.7650
"1628",16.50, 55,"4",225.0100,231.8600
"1629",19.50, 55,"4",285.8700,287.5925
"1630",20.00, 55,"4",284.2700,288.5375
"1631",20.50, 55,"4",299.8000,300.5850
"1632",22.00, 55,"4",310.2000,314.7720
"1633",22.50, 55,"4",340.0000,341.0625
"1634",23.00, 55,"4",338.0800,340.3250
"1635",23.50, 55,"4",384.5400,384.5400
"1636",24.50, 55,"4",379.3100,379.8170
"1637",25.00, 55,"4",362.1600,372.3450
"1638",26.00, 55,"4",408.8100,408.8100
"1639",16.00, 56,"4",208.7200,212.4700
"1640",20.00, 56,"4",269.3100,275.0150
"1641",21.00, 56,"4",305.0700,308.2725
"1642",22.00, 56,"4",298.8000,302.0760
"1643",25.50, 56,"4",377.5400,379.4930
"1644",27.50, 56,"4",412.6600,413.3470
"1645", 5.05, 57,"4", 58.0800, 58.6995
"1646", 6.00, 57,"4", 70.3600, 70.7340
"1647", 8.30, 57,"4", 99.9600,100.7700
"1648",10.03, 57,"4",123.3400,124.7425
"1649",11.61, 57,"4",144.3500,144.7290
"1650", 5.09, 58,"4", 60.4800, 60.6840
"1651", 5.98, 58,"4", 72.6300, 73.2060
"1652", 7.15, 58,"4", 86.9600, 87.4315
"1653", 8.64, 58,"4",106.6900,107.6200
"1654", 9.47, 58,"4",117.1700,118.5580
"1655",12.23, 58,"4",154.7500,157.6760
"1656",13.88, 58,"4",179.6500,180.6780
"1657",16.50, 58,"4",225.0000,225.0300
"1658",16.54, 58,"4",216.0300,219.1950
"1659",16.00, 59,"4",213.8000,217.2700
"1660",16.50, 59,"4",235.3000,235.7800
"1661",20.00, 59,"4",272.7000,275.7000
"1662",20.50, 59,"4",297.4000,297.5100
"1663",23.00, 59,"4",329.4000,332.9000
"1664",23.50, 59,"4",346.3200,347.2395
"1665",24.00, 59,"4",326.5900,331.2065
"1666", 5.00, 60,"4", 57.9600, 57.9600
"1667", 6.00, 60,"4", 70.2300, 70.9050
"1668", 7.00, 60,"4", 84.5800, 84.8360
"1669", 8.00, 60,"4", 97.1400, 97.5510
"1670",10.00, 60,"4",124.1200,124.2460
"1671",12.00, 60,"4",148.7200,149.2870
"1672",14.80, 60,"4",184.3000,184.8340
"1673", 5.20, 61,"4", 60.0100, 60.3400
"1674", 6.01, 61,"4", 70.7900, 71.5200
"1675", 7.01, 61,"4", 82.1200, 83.4800
"1676", 8.01, 61,"4", 95.8500, 97.0940
"1677", 9.00, 61,"4",113.8300,113.9960
"1678",10.10, 61,"4",126.0000,126.6175
"1679",11.46, 61,"4",145.0400,145.2605
"1680",14.08, 61,"4",183.3700,183.7690
"1681", 5.00, 62,"4", 58.0200, 58.1340
"1682", 5.40, 62,"4", 69.8300, 69.8300
"1683", 6.00, 62,"4", 70.4300, 70.5405
"1684", 7.00, 62,"4", 82.5300, 82.5555
"1685", 8.00, 62,"4", 99.5800, 99.7965
"1686", 8.95, 62,"4",109.9500,109.9830
"1687",10.40, 62,"4",126.7800,127.2770
"1688",12.00, 62,"4",149.8600,150.5480
"1689",13.90, 62,"4",178.2100,178.2955
"1690",14.00, 62,"4",177.6600,177.8235
"1691",16.40, 62,"4",213.2700,213.3270
"1692",18.00, 62,"4",233.9400,234.3660
"1693",20.00, 62,"4",283.9700,283.9700
"1694", 5.00,  2,"5", 58.5900, 58.9320
"1695", 6.00,  2,"5", 68.3700, 70.7860
"1696", 7.23,  2,"5", 90.3600, 90.6935
"1697", 8.00,  2,"5", 98.2300, 99.3450
"1698", 9.00,  2,"5",115.7300,116.7470
"1699", 9.09,  2,"5",114.1200,114.5820
"1700",10.00,  2,"5",127.0100,127.1540
"1701",10.87,  2,"5",137.4600,137.4600
"1702",13.06,  2,"5",169.2600,170.5840
"1703",14.00,  2,"5",219.4800,219.4800
"1704",15.00,  2,"5",219.1300,219.1300
"1705",16.00,  2,"5",226.7200,233.4180
"1706",17.48,  2,"5",245.5100,245.7100
"1707",20.00,  2,"5",299.2500,302.4135
"1708",21.50,  2,"5",341.1200,341.5045
"1709",24.50,  2,"5",368.5400,371.6000
"1710",17.00,  3,"5",234.9000,237.6600
"1711",17.50,  3,"5",246.0000,246.8700
"1712",20.00,  3,"5",283.1200,284.5520
"1713",20.50,  3,"5",364.7000,364.7000
