,racecourse,racetype,distance,std_time
735,47.0,3,24.5,373.2025
736,47.0,3,26.0,386.41
737,47.0,4,15.7,224.765
738,47.0,4,16.0,223.97
739,47.0,4,17.0,229.1355
740,48.0,2,16.32,227.435
741,48.0,2,16.5,226.5275
742,48.0,2,18.67,260.1
743,48.0,2,19.0,261.366
744,48.0,2,22.03,311.0225
745,48.0,2,22.5,314.332
746,48.0,2,27.0,376.72
747,48.0,3,17.5,241.805
748,48.0,3,19.45,282.1
749,48.0,3,20.0,280.416
750,48.0,3,21.5,303.07
751,48.0,3,22.57,326.041
752,48.0,3,23.0,326.862
753,48.0,3,24.0,347.75
754,48.0,3,28.0,409.255
755,48.0,4,16.5,224.4
756,49.0,2,17.0,231.9695
757,49.0,2,19.0,277.95
758,49.0,2,19.5,268.308
759,49.0,2,24.5,343.15
760,49.0,3,16.5,235.4765
761,49.0,3,19.0,273.698
762,49.0,3,23.5,351.577
763,49.0,3,24.0,348.936
764,49.0,3,27.0,403.662
765,49.0,4,17.0,229.539
766,50.0,1,5.0,56.957
767,50.0,1,6.0,68.5625
768,50.0,1,7.36,92.35
769,50.0,1,8.0,98.36
770,50.0,1,10.0,126.258
771,50.0,1,12.0,153.3155
772,50.0,1,14.0,180.118
773,50.0,1,16.0,209.72
774,50.0,2,16.0,218.346
775,50.0,2,20.0,285.045
776,50.0,2,22.0,318.83
777,50.0,2,23.87,339.475
778,50.0,2,24.0,343.817
779,50.0,3,16.0,226.596
780,50.0,3,19.5,282.012
781,50.0,3,21.0,313.55
782,50.0,3,24.0,354.481
783,50.0,3,25.5,379.3915
784,50.0,4,14.0,199.112
785,50.0,4,16.0,217.74
786,51.0,1,5.0,57.747
787,51.0,1,6.0,70.4075
788,51.0,1,7.0,84.478
789,51.0,1,8.0,97.433
790,51.0,1,12.0,152.4985
791,51.0,1,16.0,206.841
792,52.0,2,16.0,226.6475
793,52.0,2,19.5,279.5
794,52.0,2,21.0,311.2605
795,52.0,2,24.0,358.7
796,52.0,3,16.5,237.915
797,52.0,3,19.5,300.31
798,52.0,3,22.0,327.5025
799,52.0,3,24.5,363.6675
800,52.0,3,25.0,387.09
801,52.0,4,13.5,186.755
802,52.0,4,16.0,227.29
803,53.0,2,15.76,227.8
804,53.0,2,16.0,223.483
805,53.0,2,19.94,293.26
806,53.0,2,20.5,287.932
807,53.0,2,22.5,315.088
808,53.0,2,23.32,340.98
809,53.0,2,24.0,339.8765
810,53.0,2,24.5,349.58
811,53.0,3,15.97,232.89
812,53.0,3,16.0,226.513
813,53.0,3,20.0,293.095
814,53.0,3,21.0,303.907
815,53.0,3,22.49,339.65
816,53.0,3,22.5,335.945
817,53.0,3,23.0,340.62
818,53.0,3,24.0,360.74
819,53.0,3,24.01,364.99
820,53.0,3,26.0,392.0575
821,53.0,3,28.0,413.914
822,53.0,3,32.5,489.894
823,53.0,3,33.5,520.401
824,53.0,3,34.0,522.821
825,53.0,4,15.76,226.53
826,53.0,4,16.0,222.12
827,54.0,1,5.0,58.614
828,54.0,1,5.5,64.1035
829,54.0,1,6.0,70.17
830,54.0,1,6.1,70.24
831,54.0,1,6.76,82.258
832,54.0,1,7.12,82.41
833,54.0,1,7.75,95.3465
834,54.0,1,8.09,100.799
835,54.0,1,8.1,98.195
836,54.0,1,10.5,135.392
837,54.0,1,10.85,137.125
838,54.0,1,12.25,160.24
839,54.0,1,12.61,160.486
840,54.0,1,14.97,194.053
841,54.0,1,16.18,208.949
842,54.0,2,16.0,219.274
843,54.0,2,19.0,264.1775
844,54.0,2,20.5,287.1
845,54.0,2,21.0,293.055
846,54.0,2,25.0,362.2975
847,54.0,2,26.0,372.53
848,54.0,3,16.0,230.3195
849,54.0,3,16.5,227.971
850,54.0,3,20.0,293.73
851,54.0,3,20.5,302.706
852,54.0,3,24.5,364.14
853,54.0,3,26.0,392.816
854,54.0,3,29.0,436.146
855,54.0,4,14.0,192.464
856,54.0,4,16.0,218.979
857,55.0,1,7.0,85.0455
858,55.0,2,16.0,226.32
